type_key,category_key,parent_category,label,description,workflow_key,line_template,default_rate,estimated_mins,sort_order,active,notes,modal_type,requires_media,requires_lamination,default_media,default_lamination,default_transfer_tape,labor_per_sqft,labor_per_unit,qualifier_question,qualifier_options,default_media_if_yes,default_media_if_no
CAST_LET_GRAPH,VINYL_GRAPHICS,AUTOMOTIVE,Cast Lettering & Graphics Cut,"Printed cast vinyl with lamination, plotter cut, transfer tape",CAST_LET_GRAPH_WORKFLOW,VINYL_GRAPHICS,,,1,TRUE,For curved surfaces,VINYL_GRAPHICS,TRUE,TRUE,AVERY_2105_54,AVERY_DOL_1360Z_CAST_GLOSS_54,AIRMASK_510U_54,2.5,,,,,
CAST_GRAPH_BULK,VINYL_GRAPHICS,AUTOMOTIVE,Cast Graphics Bulk,"Printed cast vinyl with lamination, hand/table cut, no transfer tape",CAST_GRAPH_BULK_WORKFLOW,VINYL_GRAPHICS,,,2,TRUE,Large panels on curved surfaces,VINYL_GRAPHICS,TRUE,TRUE,AVERY_2105_54,AVERY_DOL_1360Z_CAST_GLOSS_54,,3,,,,,
CAL_LET_GRAPH,VINYL_GRAPHICS,AUTOMOTIVE,Calendared Lettering & Graphics,"Printed calendared vinyl with lamination, plotter cut, transfer tape",CAL_LET_GRAPH_WORKFLOW,VINYL_GRAPHICS,,,3,TRUE,For flat surfaces,VINYL_GRAPHICS,TRUE,TRUE,ORACAL_3551_G_54,ORAGUARD_215_G_54,BRITELINE_TRANSFER_TAPE_54,2,,,,,
KISS_CUT,STICKERS,SIGNAGE,Easy Peel,"Print then cut on plotter, weed and strip",STICKER_KISS_WORKFLOW,KISS_CUT,,60,2,TRUE,Sheet stickers,STICKERS,TRUE,FALSE,,,,,0.15,,,,
DIE_CUT,STICKERS,SIGNAGE,Die Cut,Custom die cut stickers,STICKER_DIE_WORKFLOW,DIE_CUT,,90,3,TRUE,Premium custom shapes,STICKERS,TRUE,FALSE,,,,,0.25,,,,
SHEET_LABELS,STICKERS,SIGNAGE,Sheet Labels,Sheet format labels,LABEL_SHEET_WORKFLOW,SHEET_LABELS,,45,2,TRUE,Sheet format,STICKERS,TRUE,FALSE,,,,,0.1,,,,
CORO_PLAST,SIGN_BOARDS,SIGNAGE,Coroplast,Signage with printed media on top,SIGN_BOARDS,SIGNAGE,,,1,TRUE,,SUBSTRATE,FALSE,FALSE,,,,5,,,,,
MAX_METAL,SIGN_BOARDS,SIGNAGE,Max Metal,Signage with printed media on top,SIGN_BOARDS,SIGNAGE,,,2,TRUE,,SUBSTRATE,FALSE,FALSE,,,,5,,,,,
FOAM_CORE,SIGN_BOARDS,SIGNAGE,Foam Core,Signage with printed media on top,SIGN_BOARDS,FOAM_CORE,,,3,TRUE,,SUBSTRATE,FALSE,FALSE,,,,5,,,,,
VERTICAL_FLUTE,YARD_SIGNS,SIGNAGE,Vertical,Yard sign - Vertical Flute,YARD_SIGNS,YARD_SIGNS,,,1,TRUE,,YARD_SIGNS,FALSE,FALSE,,,,5,2,,,,
HORIZONTAL_FLUTE,YARD_SIGNS,SIGNAGE,Horizontal,Yard sign - Horizontal Flute,YARD_SIGNS,YARD_SIGNS,,,2,TRUE,,YARD_SIGNS,FALSE,FALSE,,,,5,2,,,,
WITH_FRAME,A_FRAME,SIGNAGE,A Frame,A-Frame Sign,WITH_FRAME,WITH_FRAME,,,1,TRUE,,A_FRAME,FALSE,FALSE,,,,,5,,,,
INSERT_ONLY,A_FRAME,SIGNAGE,A Frame,A-Frame Sign,INSERT_ONLY,INSERT_ONLY,,,1,TRUE,,A_FRAME,FALSE,FALSE,,,,,2,,,,
LA MARZOCCO,CAFE_EQUPIMENT,APPLIANCES,Cafe Equipment,Cafe Equipment,CAFE_EQUPIMENT_WORKFLOW,LA MARZOCCO,,,1,TRUE,,DEFAULT,FALSE,FALSE,,,,,50,,,,
