MEDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material,material_key,material_type,material_subtype,finish,dropdown_field,Roll Cost,Width (ft),Length (ft),Total Sqft,Cost per Linear ft,cost_sqft,mark_up,archived,material_thickness,category_material_keys,FULL_WRAP,PARTIAL_WRAP,COLOR_CHANGE_PARTIAL,COLOR_CHANGE_FULL,VAN_INSERTS,CAST_LET_GRAPH,CAST_GRAPH_BULK,CAL_LET_GRAPH,KISS_CUT,DIE_CUT,SHEET_LABELS,CORO_PLAST,MAX_METAL,FOAM_CORE,PPF,CHROME_DELETE,WINDOW_PERF,SIGNAGE,SIGN_BOARDS,WITH_FRAME,INSERT_ONLY,BANNERS,BANNER_STAND,LABELS,MAGNETS,WALL_GRAPHICS,VERTICAL_FLUTE,HORIZONTAL_FLUTE,FLAT_EMB,CAP_EMB,TRANSFER_BY_SIZE,GANG_SHEET
"Avery DOL 1380z Cast | Matte 54""",AVERY_DOL_1380Z_CAST_MATTE_54,LAMINATION,CAST,MATTE,lamination,$476.55,4.5,150,675,$3.18,$0.71,$3.53,FALSE,,FULL_WRAP|PARTIAL_WRAP|CAST_LET_GRAPH|CAST_GRAPH_BULK,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Avery DOL 1370z Cast | Luster 54""",AVERY_DOL_1370Z_CAST_LUSTER_54,LAMINATION,CAST,SATIN,lamination,$475.20,4.5,150,675,$3.17,$0.70,$3.52,FALSE,,FULL_WRAP|PARTIAL_WRAP|CAST_LET_GRAPH|CAST_GRAPH_BULK,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Avery DOL 1360z Cast | Gloss 54""",AVERY_DOL_1360Z_CAST_GLOSS_54,LAMINATION,CAST,GLOSS,lamination,$500.18,4.5,150,675,$3.33,$0.74,$3.71,FALSE,,FULL_WRAP|PARTIAL_WRAP|CAST_LET_GRAPH|CAST_GRAPH_BULK,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"OraGuard 215 Gloss 54""",ORAGAURD_215_GLOSS_54,LAMINATION,CALENDARED,GLOSS,lamination,$480.00,4.5,150,675,$3.20,$0.71,$3.56,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"OraGuard 215 Semi Gloss 54""",ORAGAURD_215_SEMI_GLOSS_54,LAMINATION,CALENDARED,GLOSS,lamination,$511.61,4.5,150,675,$3.41,$0.76,$3.79,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AirMask 510U 48""",AIRMASK_510U_48,TRANSFER_TAPE,CAST,,transfer_tape,$241.51,4,300,1200,$0.81,$0.20,$1.01,FALSE,,CAST_LET_GRAPH,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AirMask 510U 54""",AIRMASK_510U_54,TRANSFER_TAPE,CAST,,transfer_tape,$271.70,4.5,300,1350,$0.91,$0.20,$1.01,FALSE,,CAST_LET_GRAPH,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AirMask 510U 60""",AIRMASK_510U_60,TRANSFER_TAPE,CAST,,transfer_tape,$301.88,5,300,1500,$1.01,$0.20,$1.01,FALSE,,CAST_LET_GRAPH,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
